
Words information for Health topic: 


Word  ,  Topic  ,  Total_percentage_abundance 
-------------------------------------------------------------------------------
  Health  2.951987 
attractive  Health  0.011486 
australian  Health  0.011486 
avoid  Health  0.011486 
babies  Health  0.011486 
balanced  Health  0.011486 
banks  Health  0.011486 
battling  Health  0.011486 
beer  Health  0.011486 
begins  Health  0.011486 
behavior  Health  0.011486 
believe  Health  0.011486 
believes  Health  0.011486 
belongings  Health  0.011486 
berkley  Health  0.011486 
besides  Health  0.011486 
bind  Health  0.011486 
birth  Health  0.011486 
birthday  Health  0.011486 
births  Health  0.011486 
bit  Health  0.011486 
blame  Health  0.011486 
bloodstream  Health  0.011486 
blow  Health  0.011486 
bodily  Health  0.011486 
boon  Health  0.011486 
bordering  Health  0.011486 
bottom  Health  0.011486 
bowel  Health  0.011486 
boy  Health  0.011486 
brainer  Health  0.011486 
brazilian  Health  0.011486 
breaking  Health  0.011486 
breakthrough  Health  0.011486 
breastfeed  Health  0.011486 
breather  Health  0.011486 
bring  Health  0.011486 
build  Health  0.011486 
burn  Health  0.011486 
busy  Health  0.011486 
buzzards  Health  0.011486 
cake  Health  0.011486 
call  Health  0.011486 
canals  Health  0.011486 
cancer  Health  0.011486 
cancerseek  Health  0.011486 
candidate  Health  0.011486 
candy  Health  0.011486 
cannabis  Health  0.011486 
caramels  Health  0.011486 
carb  Health  0.011486 
carbs  Health  0.011486 
cardiac  Health  0.011486 
care  Health  0.011486 
carried  Health  0.011486 
carrots  Health  0.011486 
catch  Health  0.011486 
causing  Health  0.011486 
cautions  Health  0.011486 
cautious  Health  0.011486 
cdc  Health  0.011486 
celebrate  Health  0.011486 
centre  Health  0.011486 
ceo  Health  0.011486 
chance  Health  0.011486 
changer  Health  0.011486 
chasing  Health  0.011486 
chawing  Health  0.011486 
checked  Health  0.011486 
checkup  Health  0.011486 
checkups  Health  0.011486 
cheeks  Health  0.011486 
cheering  Health  0.011486 
cheers  Health  0.011486 
chemical  Health  0.011486 
chemotherapy  Health  0.011486 
chew  Health  0.011486 
chewing  Health  0.011486 
chilled  Health  0.011486 
chlorine  Health  0.011486 
chocolate  Health  0.011486 
choice  Health  0.011486 
chorus  Health  0.011486 
chuangshi  Health  0.011486 
circadian  Health  0.011486 
circulating  Health  0.011486 
cirrhosis  Health  0.011486 
citrus  Health  0.011486 
clings  Health  0.011486 
close  Health  0.011486 
closely  Health  0.011486 
clothes  Health  0.011486 
cocktail  Health  0.011486 
cocktails  Health  0.011486 
cold  Health  0.011486 
colds  Health  0.011486 
collaboration  Health  0.011486 
collapsing  Health  0.011486 
color  Health  0.011486 
combat  Health  0.011486 
combined  Health  0.011486 
combining  Health  0.011486 
commonality  Health  0.011486 
communications  Health  0.011486 
compare  Health  0.011486 
compensatory  Health  0.011486 
complacency  Health  0.011486 
complicated  Health  0.011486 
complications  Health  0.011486 
concept  Health  0.011486 
concerning  Health  0.011486 
confident  Health  0.011486 
confirmed  Health  0.011486 
connecting  Health  0.011486 
considered  Health  0.011486 
constant  Health  0.011486 
constantly  Health  0.011486 
consumption  Health  0.011486 
containing  Health  0.011486 
contribute  Health  0.011486 
contributing  Health  0.011486 
conversation  Health  0.011486 
cookie  Health  0.011486 
cosmetic  Health  0.011486 
cottonmouth  Health  0.011486 
counter  Health  0.011486 
country  Health  0.011486 
course  Health  0.011486 
cover  Health  0.011486 
creation  Health  0.011486 
crisp  Health  0.011486 
cross  Health  0.011486 
crowds  Health  0.011486 
cryopreserved  Health  0.011486 
cue  Health  0.011486 
culprits  Health  0.011486 
cupped  Health  0.011486 
cure  Health  0.011486 
currently  Health  0.011486 
daily  Health  0.011486 
dani  Health  0.011486 
